RestaurantID,Restaurant Name,Address,Time,Price
263,Trà Sữa Tocotoco - 271 Nguyễn Khang,"271 Nguyễn Khang, P. Yên Hòa, Cầu Giấy, Hà Nội",09:00 - 22:30,35.000 - 70.000
264,"Tiệm Trà Sky Nhé - Sen Dừa, Bánh Trôi Tàu, Mì Trộn Indomie - 6 Thượng Đình","6 Thượng Đình, P. Thượng Đình, Thanh Xuân, Hà Nội",07:00 - 23:30,10.000 - 60.000
265,Gà Rán & Gà Ủ Muối Hoa Tiêu - Hoàng Ngân,"Số 1 Ngõ 80 Hoàng Ngân, P. Trung Hòa, Cầu Giấy, Hà Nội",00:00 - 23:59,50.000 - 100.000
266,,,,
267,Cơm Văn Phòng & Cơm Niêu Hợp Tác Xã - Hồng Hà,"535 Hồng Hà, P. Phúc Tân, Hoàn Kiếm, Hà Nội",08:08 - 23:55,30.000 - 60.000
268,,,,
269,Nhem Nhem - Đồ Ăn Vặt & Mì Trộn Indomie,"Số 2 Ngõ 43/66/9 Trung Kính, P. Trung Hoà, Cầu Giấy, Hà Nội",00:00 - 01:30 | 09:30 - 23:59,0 - 0
270,Pizza Ông Tây - Đỗ Quang,"45 Đỗ Quang, Cầu Giấy, Hà Nội",09:00 - 22:00,50.000 - 350.000
271,Mập Quán - Đồ Ăn Vặt & Mỳ Xào - Khu Tập Thể Kim Liên,"106 B12 Khu Tập Thể Kim Liên, P. Kim Liên, Đống Đa, Hà Nội",00:00 - 03:00 | 11:00 - 23:59,10.000 - 100.000
272,Cheese Coffee - Xuân Thủy,"Số 3 Xuân Thủy, P. Dịch Vọng, Cầu Giấy, Hà Nội",07:45 - 21:45,0 - 0
273,Gà Rán & Burger Lotteria - Nguyễn Tuân,"82 Nguyễn Tuân, P. Thanh Xuân Trung, Thanh Xuân, Hà Nội",09:00 - 22:00,30.000 - 77.000
274,,,,
275,,,,
276,,,,
277,,,,
278,Cháo Sườn Sụn Phố Cổ,"101 A11 Nghĩa Tân, P. Nghĩa Tân, Cầu Giấy, Hà Nội",06:30 - 21:40,5.000 - 31.000
279,Kiệt - Mì Trộn Indomie,"99 Ngõ 482 Kim Giang, X. Thanh Liệt, Thanh Trì, Hà Nội",00:00 - 23:59,20.000 - 70.000
280,,,,
281,Chaebon - Kimbap Ngon Số 1 - Nguyễn An Ninh,"10B P2 Ngõ 71 Nguyễn An Ninh, P. Tương Mai, Hoàng Mai, Hà Nội",10:00 - 23:59,0 - 0
282,,,,
283,Duy Nhất - Phở Bò & Cơm Rang - Vĩnh Hưng,"51 Vĩnh Hưng, P. Vĩnh Hưng, Hoàng Mai, Hà Nội",09:00 - 16:00 | 17:30 - 23:59,0 - 0
284,"Doo Foods - Burger, Gà Rán & Cơm Gà - Kim Ngưu","118A E7 Kim Ngưu, P. Quỳnh Mai, Hai Bà Trưng, Hà Nội",00:00 - 08:00 | 09:30 - 23:59,0 - 0
